Sensor-349,Sensor-104,Sensor-511,Sensor-60,Sensor-130,Sensor-211,Sensor-438,Sensor-29,Sensor-125,Sensor-65,Sensor-101,Sensor-122,Sensor-338,Sensor-134,Sensor-167,Sensor-57,Sensor-76,Sensor-472,Sensor-201,Sensor-302,Sensor-126,Sensor-461,Sensor-96,Sensor-198,Sensor-131,Sensor-456,Sensor-184,Sensor-197,Sensor-320,Sensor-181,Sensor-317,Sensor-124,Sensor-470,Sensor-39,Sensor-352,Sensor-453,Sensor-200,Sensor-214,Sensor-15,Sensor-478,Sensor-64,Sensor-69,Sensor-59,Sensor-334,Sensor-350,Sensor-206,Sensor-204,Sensor-66,Sensor-123,Sensor-476,Sensor-574,Sensor-135,Sensor-127,Sensor-500,Sensor-512,Sensor-212,Sensor-22,Sensor-342,Sensor-366,Sensor-444,Sensor-578,Sensor-175,Sensor-173,Sensor-128,Sensor-56,Sensor-446,Sensor-480,Sensor-337,Sensor-202,Sensor-103,Sensor-139,Sensor-434,Sensor-105,Sensor-68,Sensor-100,Sensor-71,Sensor-412,Sensor-281,Sensor-115,Sensor-333,Sensor-147,Sensor-424,Sensor-388,Sensor-250,Sensor-282,Sensor-208,Sensor-542,Sensor-335,Sensor-199,Sensor-48,Good/Bad
0.0231,-0.0076,67.3267,-0.1209,-0.1419,0.0789,2.7955,67.9667,15.9,20.1209,0.0,15.84,2.0679,997.8064,1.9,0.9248,-0.0123,10.7716,21.52,0.6042,1.163,24.8249,0.0,22.77,0.6764,5.1207,37.951,6.52,11.3247,19.07,6.3084,15.9,6.3653,86.7807,0.0314,5.3492,12.84,0.071,6.9304,10.4836,14.9973,148.1355,4.5484,6.5448,0.0223,15.53,36.31,28.8518,4.809,5.0978,0.3699,36.287,2.708,616.5854,0.0,0.0526,-6170.75,4.5757,0.0046,0.8039,16.3015,0.406,0.406,0.7242,2853.0,0.8202,3.4429,11.0934,6.52,-0.0119,65.5,325.6748,-0.0002,1.0146,0.0177,625.0591,2.9742,0.0118,0.0,2.0679,0.0372,70.5158,0.0,0.0,0.0111,21.52,14.158,0.2997,1.084,1.3648,-1.0
0.0228,-0.0068,90.5109,1.1782,-0.1419,0.0777,5.7166,68.2222,15.9,18.8218,0.0006,15.84,1.4121,997.8064,3.9,0.9293,0.0015,10.63,9.29,1.2245,1.163,17.1475,0.0001,19.89,0.6764,4.7335,34.743,3.95,10.6227,23.42,7.2599,15.9,5.5993,86.5759,0.0186,6.5961,12.66,0.0403,5.1446,6.4326,7.674,152.1927,4.5537,6.0913,0.024,9.79,34.697,20.0249,4.809,4.8599,0.1958,36.287,2.708,90.877,968.4211,0.0527,-5372.25,2.7757,0.0063,0.5874,10.3628,0.2949,0.2949,0.7242,2843.0,0.5922,3.4524,10.9927,3.95,-0.0426,60.8999,188.1301,-0.0005,1.5175,0.0353,626.5164,2.7893,0.0155,0.0,1.4121,0.0509,77.7509,0.0,0.0,0.013,21.63,14.158,0.135,0.519,0.9166,-1.0
0.0352,-0.0117,41.9251,0.1664,-0.5204,0.1003,5.8103,67.1222,15.89,19.8336,0.0,15.91,3.0051,1003.0211,3.9,0.9324,0.005,8.7546,21.31,1.0474,1.239,19.442,0.0,21.83,0.7586,4.1255,30.68,8.96,8.7934,20.66,6.833,15.94,6.2564,87.0488,0.0236,5.9309,11.4,0.0529,10.563,8.6404,11.2309,143.1645,4.5122,5.9931,0.0277,12.37,38.565,26.1038,4.392,5.3744,0.2724,38.9026,2.453,291.3024,0.0,0.0586,-5472.75,3.3012,0.0123,0.8091,11.6508,0.4061,0.4061,0.6586,2833.0,0.8154,3.4244,9.6861,8.96,-0.0504,55.2,88.563,-0.0003,1.1113,0.0242,622.3064,2.5607,0.0189,0.0,3.0051,0.0518,51.207,0.0,0.0,0.013,21.31,10.3597,0.2178,0.802,1.3175,-1.0
0.019,-0.0111,35.9955,4.92,0.0,0.0698,3.7215,67.1778,15.91,15.08,0.0001,15.87,1.3393,1001.3796,2.5,0.9361,-0.0086,7.6587,16.99,0.7155,1.541,29.814,0.0001,18.02,0.7717,4.0418,28.727,4.29,8.4626,17.02,5.4468,15.96,5.179,87.1381,0.0472,4.8499,8.23,0.0992,10.2454,7.7601,15.0528,149.0964,4.5539,5.8244,0.0203,11.57,30.639,22.7427,4.563,4.4533,1.0685,36.7896,2.51,0.0,0.0,0.0464,-5677.75,3.2037,0.0037,0.6774,70.2474,0.3412,0.3412,0.6567,2822.0,0.6875,2.8106,8.6285,4.29,0.0409,59.2,186.5714,-0.0003,0.8304,0.0205,604.5018,2.6887,0.0127,0.0,1.3393,0.0443,49.5053,0.0,0.0,0.0143,16.99,9.9207,0.0932,0.299,1.443,-1.0
0.0172,-0.0073,46.4957,-1.3227,-1.655,0.0663,4.576,67.7444,15.95,21.3227,0.0004,15.93,2.2183,1005.3318,3.1,0.9329,-0.0035,5.2535,24.95,0.9139,1.376,22.7657,0.0001,20.45,0.7591,3.1804,23.654,6.51,6.9408,15.77,5.7706,15.98,5.78,86.6814,0.0166,4.482,6.3,0.0362,7.8402,11.7319,17.2327,150.7,4.5834,6.2136,0.0122,17.68,27.761,29.827,4.585,3.8886,0.2525,42.9293,2.461,605.042,0.0,0.028,-6424.75,4.1575,0.0059,0.6297,12.2428,0.3177,0.3177,0.6903,2888.0,0.6412,3.9957,8.9243,6.51,0.0658,68.1001,12.4184,0.0002,0.9656,-0.0149,624.4264,3.1423,0.0174,0.0,2.2183,0.044,59.8711,0.0,0.0,0.0124,24.95,9.4593,0.0654,0.175,1.297,-1.0
0.0325,-0.0114,66.0793,-0.7845,-0.0946,0.1382,3.1384,70.1,15.96,20.7845,-0.0011,15.92,1.9844,1006.0844,2.2,0.927,-0.0185,8.8094,19.36,0.7176,1.399,14.8615,-0.0004,18.78,0.7436,5.2124,38.317,6.69,11.2429,14.73,4.7145,15.96,5.311,86.6662,0.015,4.1581,10.25,0.0329,8.2149,7.7185,14.6036,151.9718,4.5556,5.6904,0.0317,11.73,32.545,28.7982,4.92,4.6077,0.2969,39.14,2.471,0.0,0.0,0.0765,-6369.75,3.1894,0.0183,0.7055,13.9238,0.3555,0.3555,0.7857,2856.0,0.7166,3.1129,9.601,6.69,0.0872,62.9001,11.7214,-0.0005,0.8873,0.0353,621.93,2.8045,0.0166,0.0,1.9844,0.0437,64.6507,0.0,0.0,0.0137,19.36,11.5631,0.0538,0.208,1.4032,-1.0
0.012,-0.0137,32.0875,0.2655,-1.655,0.0431,4.2591,68.0889,15.95,19.7345,-0.0002,15.93,1.4499,1005.3318,2.9,0.9265,-0.0199,10.349,19.14,0.8223,1.376,23.6531,0.0,20.45,0.7591,5.1124,37.475,4.89,11.1848,16.01,4.698,15.98,5.7657,86.8706,0.0389,4.5185,12.17,0.0737,6.821,14.1605,10.2814,148.9355,4.5501,5.5041,0.0232,21.09,35.147,25.8087,4.585,4.9698,0.2646,42.9293,2.461,0.0,0.0,0.055,-6328.75,4.999,0.0048,0.6734,12.6428,0.3401,0.34,0.6903,2858.0,0.687,4.327,10.7607,4.89,-0.0749,53.3,3.5533,-0.0005,0.9688,0.0363,621.2182,2.4047,0.0129,0.0,1.4499,0.0397,65.401,0.0,0.0,0.0119,26.88,9.4593,0.1707,0.624,0.9214,-1.0
0.0291,-0.0111,36.036,-3.6855,-0.0946,0.1245,3.8688,69.7889,15.96,23.6855,-0.0004,15.92,2.7609,1006.0844,2.7,0.9142,-0.0202,9.8199,10.15,0.9373,1.399,17.8529,0.0,19.32,0.7436,4.371,32.963,8.52,9.3344,17.35,5.5498,15.96,5.2554,86.8774,0.1012,4.7477,12.08,0.2471,7.375,5.7486,8.39,146.2955,4.5382,5.5412,0.028,8.41,38.299,28.4754,4.92,5.2778,0.2812,39.14,2.471,0.0,800.0,0.0675,-6234.5,2.1545,0.0041,0.6692,14.2593,0.3367,0.3367,0.7857,2867.0,0.6777,3.0725,8.6697,8.52,-0.0178,62.9001,11.8371,-0.0006,0.9915,0.0428,636.9327,2.8045,0.0158,0.0,2.7609,0.0435,66.4813,0.0,0.0,0.0112,19.57,11.5631,0.1904,0.567,0.8421,-1.0
0.0191,-0.0089,22.4404,-1.7609,-0.0946,0.0615,3.476,69.0444,15.96,21.7609,0.0001,15.92,2.3084,1006.0844,2.4,0.923,-0.021,9.2567,18.24,0.8457,1.399,24.78,0.0,23.67,0.7436,4.8743,36.558,8.15,10.3854,16.08,5.1793,15.96,6.5423,86.6108,0.0238,4.459,11.56,0.0543,7.2128,11.0497,12.8948,145.7055,4.5698,7.5572,0.0216,16.1,33.884,31.1484,4.92,4.7135,0.2932,39.14,2.471,0.0,0.0,0.0448,-5962.0,4.6373,0.0056,0.8241,14.1723,0.4111,0.4111,0.7857,2855.0,0.8203,3.8189,11.1289,8.15,-0.0201,53.3,337.6751,-0.0001,0.9017,0.0102,632.3891,2.4047,0.0116,0.0,2.3084,0.0427,40.7192,0.0,0.0,0.0115,24.15,11.5631,0.3398,0.874,1.1979,-1.0
0.0141,-0.0089,67.0391,2.9691,-0.0946,0.0522,5.0262,65.6556,15.96,17.0309,-0.0001,15.92,1.5403,1006.0844,3.3,0.929,-0.0332,8.9233,22.52,0.9812,1.399,16.6688,0.0,18.71,0.7436,4.7213,34.488,5.29,10.2887,20.98,5.5332,15.96,5.2792,87.1954,0.0177,5.8916,10.53,0.0406,7.095,3.4708,12.1627,146.0755,4.5141,5.7803,0.0225,5.07,32.558,22.5569,4.92,4.5991,0.3671,39.14,2.471,160.4585,0.0,0.052,-5490.25,1.5393,0.0029,0.7492,17.9606,0.3767,0.3767,0.7857,2843.0,0.7576,4.6193,9.4876,5.29,0.0211,71.0999,161.7482,-0.0002,0.8996,0.0158,618.4909,3.1906,0.0131,0.0,1.5403,0.0391,60.4369,0.0,0.0,0.0124,28.57,11.5631,0.1553,0.592,0.9249,-1.0
0.0162,-0.0174,32.1377,-1.7982,0.0,0.0497,4.2892,67.6111,15.91,21.7982,-0.0007,15.87,2.7912,1001.3796,2.9,0.9338,-0.0239,11.7303,19.31,1.1005,1.541,38.1405,0.0,17.56,0.7717,4.1332,30.03,7.8,9.411,15.51,4.7883,15.96,5.0048,86.9821,0.1107,4.4493,13.59,0.2517,8.7108,4.835,9.7697,145.8109,4.5389,5.5143,0.0156,7.05,38.72,25.6366,4.563,5.5241,0.3106,36.7896,2.51,0.0,224.0,0.0371,-6330.25,2.4282,0.0055,0.7999,13.4839,0.4036,0.4036,0.6567,2824.0,0.8147,3.7974,9.2019,7.8,0.0147,68.1001,1.1314,-0.0019,1.1234,0.1395,612.5264,3.1423,0.0135,0.0,2.7912,0.0315,56.7111,0.0,0.0,0.01,23.26,9.9207,0.1006,0.343,1.0286,-1.0
0.0127,-0.0107,62.9108,-0.3736,-1.655,0.0487,3.6355,68.7667,15.95,20.3736,0.0002,15.93,1.0663,1005.3318,2.5,0.927,-0.0104,8.7383,16.68,0.7858,1.376,9.9594,-0.0001,17.84,0.7591,4.7799,35.172,3.87,10.7483,16.81,5.2192,15.98,5.0291,86.9622,0.0066,4.7522,10.42,0.0149,6.6688,5.7983,10.6183,149.5255,4.5556,5.5989,0.0263,8.67,33.298,26.4354,4.585,4.6938,0.2236,42.9293,2.461,0.0,0.0,0.0636,-5135.0,2.6553,0.0054,0.429,10.3164,0.2169,0.2169,0.6903,2856.0,0.4387,3.6535,10.0215,3.87,0.009,53.3,651.7963,-0.0003,0.921,0.0242,623.5055,2.4047,0.0139,0.0,1.0663,0.0481,52.4981,0.0,0.0,0.0156,22.78,9.4593,0.097,0.334,0.9419,-1.0
0.0162,-0.0072,68.1739,4.9073,-0.0946,0.0651,5.5938,66.1444,15.96,15.0927,-0.0008,15.92,3.5103,1006.0844,3.7,0.9238,-0.0158,11.3907,27.14,0.9926,1.399,20.046,-0.0004,21.78,0.7436,3.8908,28.567,10.9,8.2762,19.0,5.9707,15.96,6.0513,86.8109,0.0182,5.2264,13.64,0.041,8.1971,5.4231,14.6155,141.8018,4.5429,6.5183,0.0192,7.69,42.02,22.6375,4.92,5.9052,0.2881,39.14,2.471,0.0,577.7778,0.043,-6188.0,2.266,0.0178,0.6935,14.1331,0.3488,0.3487,0.7857,2852.0,0.7016,4.367,9.8119,10.9,-0.0223,53.3,9.5208,0.0009,0.8336,-0.067,621.4736,2.4047,0.0207,0.0,3.5103,0.0359,56.3615,0.0,0.0,0.011,27.14,11.5631,0.2501,0.847,1.2962,-1.0
0.0208,-0.01,50.2513,1.49,-0.0946,0.0612,3.908,69.0889,15.96,18.51,-0.0001,15.92,1.6543,1006.0844,2.7,0.9265,-0.0175,8.5185,16.92,0.8781,1.399,21.3129,0.0,18.58,0.7436,5.316,38.912,7.2,11.2839,17.06,5.3185,15.96,5.2404,86.6492,0.0116,4.8093,10.0,0.0276,7.2552,4.0638,10.4974,148.8755,4.5501,6.1302,0.0197,6.05,33.984,24.3465,4.92,4.8025,0.3167,39.14,2.471,0.0,0.0,0.0443,-6475.5,2.161,0.005,0.7329,14.7511,0.3693,0.3693,0.7857,2858.0,0.7444,3.8256,9.7803,7.2,-0.0549,53.3,20.3741,-0.0002,0.9173,0.0167,620.8191,2.4047,0.016,0.0,1.6543,0.0447,62.9068,0.0,0.0,0.0141,23.75,11.5631,0.0834,0.26,0.9287,-1.0
0.0254,-0.0113,37.9691,3.2491,-1.655,0.0953,3.9085,66.5222,15.95,16.7509,-0.0002,15.93,1.1225,1005.3318,2.6,0.9352,0.0052,6.6549,21.94,0.951,1.376,45.836,0.0,16.15,0.7591,4.1135,29.341,4.32,8.7655,22.61,6.8121,15.98,4.6277,86.9821,0.0306,6.4192,7.36,0.0731,7.1662,6.1087,12.4782,146.84,4.5558,5.8033,0.0223,8.97,32.633,23.4873,4.585,4.7308,0.2706,42.9293,2.461,0.0,608.0,0.0525,-5558.0,3.297,0.0037,0.7999,16.8414,0.4036,0.4036,0.6903,2820.0,0.8147,3.6179,10.2343,4.32,0.0794,58.7,176.3855,-0.0006,0.8567,0.0465,606.4245,2.7127,0.015,0.0,1.1225,0.0412,48.2544,0.0,0.0,0.0118,21.94,9.4593,0.1248,0.358,1.0692,-1.0
0.0131,-0.0109,48.5126,-1.0927,0.2365,0.0429,4.7548,67.3,15.99,21.0927,0.0001,15.92,1.3739,1008.7232,3.2,0.9265,0.0133,10.4737,12.18,0.9605,1.338,25.5607,0.0001,20.05,0.7287,5.1545,37.793,4.13,11.3675,18.36,5.8811,15.99,5.6601,87.0024,0.0445,5.1838,12.19,0.0857,11.2427,8.8177,11.845,149.3582,4.5501,6.1599,0.0242,13.17,33.358,27.729,4.567,4.7284,0.2556,39.0136,2.803,0.0,514.2857,0.0559,-6380.0,3.6431,0.0062,0.2771,12.1875,0.16,0.16,0.6982,2858.0,0.3786,3.3904,10.3224,4.13,-0.1411,52.7002,14.7552,-0.0009,0.987,0.0651,619.9809,2.3579,0.0168,0.0,1.3739,0.044,45.2826,0.0,0.0,0.0126,21.02,13.3877,0.1131,0.396,0.9168,-1.0
0.0257,-0.0126,69.1162,0.2536,-0.0946,0.0938,5.9816,65.2,15.96,19.7464,0.0,15.92,1.7943,1006.0844,3.9,0.927,-0.0023,7.0114,18.51,1.0559,1.399,30.4772,0.0,17.69,0.7436,5.1268,37.631,6.89,11.0746,18.34,5.0449,15.96,5.0115,87.1954,0.0078,5.1854,8.22,0.0154,10.4684,5.7431,15.8009,147.83,4.5556,5.8989,0.0177,8.49,31.294,28.3785,4.92,4.4349,0.2684,39.14,2.471,699.7802,640.0,0.0416,-5630.75,2.5919,0.0065,0.7492,13.1891,0.3767,0.3767,0.7857,2856.0,0.7576,2.9949,9.0601,6.89,0.024,53.3,129.9712,0.0009,0.9113,-0.0651,618.0582,2.4047,0.0092,0.0007,1.7943,0.0577,60.8882,0.0021,0.0068,0.016,18.51,11.5631,0.0865,0.312,1.3916,-1.0
0.0251,-0.012,39.2894,-0.7036,0.2365,0.0772,2.7697,68.6,15.99,20.7036,0.0,15.92,2.2379,1008.7232,1.9,0.9236,-0.0168,9.8415,19.06,0.7018,1.338,24.5904,0.0003,10.61,0.7287,4.9094,36.772,6.92,10.9962,19.21,5.5866,15.99,2.9289,86.8346,0.0171,5.3382,12.18,0.0395,9.6348,4.8678,8.4078,146.0609,4.4987,3.7569,0.0487,7.11,37.126,26.841,4.567,5.1409,0.6724,39.0136,2.803,0.0,814.2857,0.1015,-5473.25,2.4426,0.0125,0.4691,33.0129,0.2366,0.2366,0.6982,2852.0,0.4774,3.9126,8.8965,6.92,-0.0173,55.2,157.9331,-0.0007,0.9847,0.0521,632.0682,2.5607,0.0173,0.0,2.2379,0.0493,53.151,0.0,0.0,0.0158,24.73,13.3877,0.3113,1.011,0.8981,-1.0
0.0147,-0.011,20.9567,3.73,-0.5204,0.0491,3.1818,66.0,15.97,16.27,-0.0003,15.95,1.7411,1007.4808,2.1,0.928,-0.0173,9.6313,10.06,0.7681,1.447,14.6289,0.0,14.05,0.7232,4.8037,35.678,6.47,11.1104,19.41,6.7593,16.01,3.8977,86.9622,0.0217,5.3911,11.9,0.0404,8.4764,9.1932,12.2001,144.3464,4.5337,4.3927,0.0182,13.27,37.814,20.899,4.41,5.2388,0.3201,38.3809,2.875,0.0,0.0,0.0435,-5611.5,4.1505,0.0055,0.429,16.3179,0.2169,0.2169,0.6809,2848.0,0.4387,3.2481,10.3402,6.47,0.0338,45.7,116.7977,0.0001,1.0201,-0.0112,628.3673,2.0957,0.0136,0.0,1.7411,0.0444,33.328,0.0,0.0,0.0137,20.41,7.2038,0.407,1.491,0.9261,-1.0
