Sensor-57,Sensor-134,Sensor-76,Sensor-28,Sensor-164,Sensor-369,Sensor-108,Sensor-81,Sensor-449,Sensor-319
0.934,1005.3318,-0.0195,5.0947,0.142,0.0022,-0.1738,-0.0765,0.1645,1.9931
0.9305,1000.8402,0.0097,7.2045,0.168,0.0023,-0.2872,0.0185,0.8488,2.5972
0.928,1006.0844,-0.0177,7.3545,0.151,0.005,-0.0851,-0.1174,0.1552,3.4807
0.928,1003.0211,-0.0408,7.3768,0.109,0.0017,-0.1409,-0.0871,0.244,3.0235
0.9356,1008.7769,0.0143,7.3427,0.125,0.0035,-0.0535,0.0102,0.9501,2.1493
0.9327,1007.4808,-0.0173,4.9273,0.104,0.0028,-0.0292,-0.1084,0.113,2.6882
0.9338,1008.7232,0.0005,7.2767,0.134,0.0032,-0.013,-0.0824,0.1629,2.9683
0.9265,1000.8402,0.0153,7.331,0.103,0.0028,-0.0887,0.0033,0.7722,2.4999
0.9217,1000.8402,0.0033,7.2605,0.114,0.0021,-0.1749,-0.1085,0.2136,2.6265
0.927,1007.4808,0.0034,7.2765,0.082,0.002,-0.0554,-0.094,0.846,3.3075
0.9243,1005.3318,-0.0114,5.0518,0.116,0.0031,0.1057,-0.0268,0.2228,3.4231
0.9236,1000.8402,0.0065,7.3053,0.153,0.0047,-0.0416,-0.1113,0.1552,3.3138
0.928,1007.4808,-0.0099,7.0797,0.155,0.0016,0.2694,-0.071,0.1552,3.3224
0.9332,1002.4074,0.0001,7.278,0.092,0.002,0.1103,-0.0025,0.2977,2.5448
0.9346,1004.4267,-0.0218,7.2975,0.123,0.0023,-0.119,-0.1014,0.9501,2.432
0.9357,1004.4267,-0.0266,7.3537,0.053,0.002,-0.2231,-0.1002,0.9501,2.5528
0.9343,1002.8717,-0.0132,7.2585,0.103,0.0025,0.0956,-0.1084,0.1132,2.6032
0.929,1002.8717,-0.0102,5.118,0.116,0.0039,0.0564,-0.0792,0.1629,3.2539
0.9217,1005.3318,-0.0193,7.3565,0.118,0.0022,-0.0583,0.0008,0.7963,2.7291
0.9142,1002.8717,-0.0094,7.4195,0.111,0.0028,-0.0838,-0.0972,0.208,2.8
0.9217,1004.4267,-0.0209,7.3043,0.107,0.0064,-0.093,-0.0852,0.1629,1.9538
0.9362,1003.0211,-0.0178,7.2897,0.047,0.0047,0.0096,-0.0274,0.8872,3.0117
0.934,1002.8717,0.0113,7.2677,0.071,0.0014,0.0122,-0.098,0.1641,2.8125
0.9295,991.5424,-0.0422,7.3262,0.035,0.0026,-0.2231,-0.0944,0.9501,6.3231
0.9302,1003.0211,-0.0244,5.2405,0.094,0.0027,-0.0716,0.0007,0.8122,2.5386
0.9361,1007.4808,-0.0448,7.3315,0.022,0.0037,-0.0982,-0.077,0.1169,2.173
0.9378,1007.4808,0.0147,5.0808,0.101,0.002,-0.0577,-0.1114,0.1932,1.977
0.9329,1004.4267,-0.018,7.3167,0.184,0.0032,-0.0484,-0.1052,0.1641,2.7427
0.928,1007.4808,0.0439,5.0193,0.114,0.0028,-0.0954,-0.1054,0.1628,3.2503
0.9265,1003.0211,-0.0067,5.064,0.082,0.0022,0.0374,0.007,0.7905,3.5059
0.9194,1002.8717,0.0138,7.47,0.209,0.0042,-0.1111,0.0039,0.1803,4.1665
0.9227,1007.4808,0.0154,7.3397,0.208,0.0025,0.0406,-0.1012,0.1964,2.6354
0.9261,1008.7232,0.0163,7.3805,0.105,0.0011,-0.0375,0.02,0.2977,3.8337
0.9362,1006.5471,0.022,7.2735,0.122,0.0078,0.1703,-0.0208,0.8121,2.9966
0.9258,1006.5471,-0.0007,5.102,0.07,0.0016,0.1763,-0.08,0.746,2.77
0.9278,1008.7232,0.0044,5.1143,0.128,0.0168,0.0088,-0.0065,0.2093,2.5433
0.9334,1006.5471,0.0212,7.204,0.098,0.0019,-0.1508,0.004,0.8121,2.3357
0.923,1006.5471,0.0094,7.2123,0.068,0.0154,0.2478,-0.0861,0.8462,2.6214
0.9296,1006.5471,-0.0196,7.2715,0.055,0.0018,-0.0198,-0.0961,0.2509,2.6136
0.9289,1009.9188,-0.0166,5.0727,0.125,0.0056,-0.1517,0.0157,0.2514,3.7227
0.934,1006.5471,-0.0195,7.2618,0.113,0.0027,-0.0994,-0.094,0.2509,2.5236
0.9238,1004.4267,0.0116,5.035,0.14,0.0014,0.0577,-0.0084,0.1976,2.9968
0.9329,1010.6904,0.0104,7.4342,0.021,0.0024,0.0155,-0.0967,0.1407,2.5544
0.9276,1010.6904,-0.0078,7.2297,0.116,0.0028,-0.0569,-0.0733,0.2787,2.2648
0.9329,1011.5203,0.0215,5.0492,0.107,0.0035,0.0662,0.0928,0.1852,2.7864
0.9334,997.7034,-0.0029,5.2797,0.093,0.002,-0.0399,-0.0878,0.8462,2.376
0.9217,1011.5203,0.0245,7.2083,0.149,0.0019,-0.0691,0.0813,0.208,2.793
0.9296,1010.6904,0.0047,5.0773,0.109,0.0017,0.0608,-0.0907,0.2787,2.4596
0.923,1011.5203,0.0412,5.1643,0.126,0.002,0.0059,0.1093,0.113,2.521
0.9329,1011.5203,-0.0052,5.1063,0.107,0.0027,-0.0964,0.1133,0.1645,2.6843
0.9329,1011.5203,0.0154,7.2465,0.032,0.0018,0.0142,0.1018,0.8462,3.0042
0.9331,1011.5203,-0.0016,5.0435,0.131,0.0038,-0.0172,0.0903,0.1641,2.4901
0.9312,1009.1781,-0.0071,5.124,0.135,0.0017,-0.0776,0.0087,0.7468,1.6122
0.9362,997.7034,-0.0202,5.113,0.064,0.0054,-0.0183,-0.09,0.1809,2.0554
0.925,1009.1781,-0.0062,7.2592,0.075,0.0024,0.0897,-0.0054,0.2509,3.9771
0.9288,1008.1258,0.0109,7.3818,0.086,0.0015,-0.227,-0.0907,0.1852,3.466
0.9238,1009.1781,0.0027,5.173,0.132,0.0023,-0.0848,0.0022,0.7963,6.261
0.9302,1010.6104,0.0122,7.3035,0.1,0.0023,-0.1188,-0.0062,0.7722,2.6864
0.9346,1010.9003,0.0155,5.1683,0.083,0.0056,0.0211,-0.0079,0.1869,2.5843
0.9331,1009.1781,0.0093,5.0385,0.116,0.0039,0.0381,-0.0135,0.1629,2.3086
0.9329,1007.066,-0.0229,7.2645,0.096,0.0028,0.0097,0.0098,0.3155,15.8934
0.9224,1001.4982,0.0134,7.326,0.105,0.0023,0.0109,0.0027,0.1009,4.0618
0.9226,1012.9091,-0.0576,7.4103,0.163,0.0032,-0.0171,0.0154,0.2363,3.9755
0.9197,1007.066,-0.0064,7.3667,0.08,0.0032,-0.1444,0.0292,0.8123,3.7823
0.9325,1012.9091,0.0289,7.279,0.105,0.0028,-0.0582,-0.0051,0.184,3.8912
0.9323,999.6703,-0.0118,7.385,0.193,0.0025,-0.0185,0.021,0.3149,3.9944
0.9052,1007.066,-0.0059,7.3645,0.07,0.0048,-0.067,0.0058,0.2445,3.5512
0.9291,1007.066,-0.0149,7.3558,0.168,0.0032,-0.0355,-0.0117,0.3498,2.5445
0.9224,1001.4982,-0.0124,7.408,0.171,0.0028,0.0516,-0.0156,0.2199,4.0213
0.9316,1007.066,-0.0132,7.2437,0.102,0.0034,0.0456,0.0037,0.3792,3.9943
0.9179,1007.066,0.0028,7.2992,0.1,0.0029,-0.0543,-0.0029,0.3814,3.9015
0.9226,1001.4982,-0.0089,7.417,0.058,0.0019,0.0429,-0.008,0.5342,3.931
0.9323,1012.9091,0.0852,7.3515,0.112,0.0023,-0.1106,0.0073,0.3005,1.7079
0.9273,999.5619,0.0129,7.3085,0.235,0.0024,-0.0259,0.0053,0.2246,2.5175
0.9273,999.5619,0.0082,7.3483,0.171,0.0024,-0.0592,-0.0001,0.2363,2.4413
0.9289,996.6092,-0.001,7.4327,0.136,0.0019,0.0673,-0.0018,0.3155,5.4642
0.9289,1009.9953,-0.0109,7.3933,0.04,0.0036,-0.0253,0.0081,0.3155,5.245
0.9319,995.0191,-0.0022,7.2808,0.082,0.0036,0.018,0.0176,0.299,2.9678
0.9325,999.5619,-0.0205,7.2163,0.191,0.0018,-0.0555,0.0074,0.236,4.2222
0.9197,999.5619,-0.0006,7.18,0.117,0.0048,0.0253,0.02,0.3155,3.9705
0.9281,999.6703,0.0045,7.4372,0.053,0.0024,-0.095,0.0405,0.2728,2.2847
0.9225,999.5619,0.015,7.3232,0.156,0.0026,0.0516,0.0025,0.2328,4.3046
0.9289,999.6703,-0.0078,7.3607,0.053,0.0033,-0.0733,0.0021,0.4135,4.7782
0.9327,1009.9953,-0.0177,7.2805,0.251,0.0022,0.0621,0.0153,0.2328,1.5595
0.9324,1009.9953,-0.0211,7.2938,0.121,0.0035,-0.058,0.0259,0.2363,4.6695
0.9225,1009.9953,0.0189,7.563,0.254,0.0031,-0.0502,0.0154,0.1469,4.0125
0.9222,999.5619,0.0077,7.2105,0.029,0.0062,0.0238,0.0118,0.2933,4.2759
0.9225,1009.9953,0.0295,7.3415,0.201,0.0024,-0.0471,0.0552,0.2328,3.9999
0.9327,1009.9953,0.0078,7.4072,0.111,0.0039,-0.0192,0.008,0.2246,1.7359
0.9323,1015.5678,-0.0078,7.2195,0.114,0.0034,0.064,-0.0015,0.1387,2.5477
0.9323,1015.5678,-0.0174,7.3385,0.171,0.002,-0.103,-0.0005,0.1387,3.4024
0.9331,999.5619,0.0327,7.3575,0.258,0.0026,0.031,-0.0145,0.1991,5.5476
0.9222,1009.9953,-0.0134,7.421,0.1,0.0036,-0.0929,-0.0021,0.3877,4.1779
0.9179,999.5619,0.0145,7.2595,0.083,0.0034,0.0336,0.0055,0.1137,3.8275
0.9325,995.0191,0.0056,7.3248,0.123,0.0023,0.0193,-0.0034,0.1854,1.6848
0.9323,995.0191,0.0019,7.2198,0.093,0.002,0.0011,-0.0091,0.2728,1.9093
0.9201,995.0191,0.0067,7.3817,0.091,0.0035,-0.0551,-0.0016,0.3639,3.7317
0.9324,1009.9953,0.0131,7.283,0.149,0.0021,0.0178,0.0137,0.2199,5.484
0.9325,1009.9953,-0.0165,7.2875,0.159,0.0022,-0.0377,0.0203,0.2418,4.062
0.9325,994.3752,-0.0156,7.1858,0.146,0.0021,-0.1172,0.0083,0.1387,3.1632
0.9278,1013.4306,0.0065,7.3258,0.25,0.0024,0.0231,0.0103,0.2246,2.4045
0.9323,1013.4306,0.0118,7.3872,0.229,0.0022,0.0482,-0.0099,0.1611,1.9816
0.9318,1013.1402,0.0046,7.3018,0.174,0.0034,0.0383,-0.0093,0.271,4.0177
0.9347,992.8867,-0.0129,7.2847,0.193,0.0021,0.0361,0.0048,0.3416,1.8142
0.9225,992.8867,-0.0044,7.3495,0.126,0.002,-0.0458,-0.0181,0.299,4.3325
0.9179,992.8867,0.0037,7.2795,0.16,0,0,0.0119,0.3416,4.6339
0.9179,992.8867,0.0038,7.2585,0.134,0.0019,0.0997,-0.0067,0.3416,4.4601
0.9179,992.8867,-0.009,7.3365,0.039,0.0012,0.0164,0.0056,0.3416,4.4707
0.92,995.0191,-0.0166,7.33,0.103,0.0048,0.0227,0.005,0.3148,3.4757
0.9322,1013.1402,-0.0051,7.4555,0.036,0.0028,-0.0709,0.0127,0.2728,11.1381
0.9281,1013.1402,-0.0136,7.2652,0.152,0.0049,-0.0634,-0.008,0.2445,2.0369
0.9201,996.3344,-0.0022,7.1735,0.165,0.003,0.004,-0.0046,0.1469,3.7814
0.9278,1013.1402,-0.0122,7.3308,0.123,0.003,0.0356,0.0074,0.236,2.7608
0.9324,994.3752,-0.0177,7.328,0.043,0.0037,-0.0053,0.013,0.2445,4.1646
0.9318,997.1394,-0.0239,7.3205,0.123,0.0036,-0.0328,-0.0132,0.1431,4.1693
0.9226,994.3752,0.0028,7.3108,0.095,0.0022,0.0424,-0.0141,0.5342,4.0979
0.932,997.1394,-0.0041,7.3135,0.082,0.0024,-0.0096,-0.0285,0.2185,3.2559
0.9347,995.1202,-0.0174,7.4047,0.07,0.0017,-0.0033,0.0097,0.3416,1.6107
0.9347,1009.5881,-0.0309,7.3027,0.111,0.0026,-0.0136,0.0015,0.3416,2.1546
0.9201,997.1394,0.0163,7.3623,0.199,0.0033,-0.0837,-0.0292,0.1714,3.6394
0.9347,1009.5881,-0.0159,7.3618,0.127,0.0029,-0.0728,-0.0142,0.3416,1.7842
0.877,1009.5881,-0.0134,7.377,0.108,0.0032,0.0584,-0.0038,0.2553,1.7219
0.9324,994.3752,0.0227,7.4707,0.071,0.0033,0.0704,-0.0143,0.3639,3.2876
0.9218,994.3752,0.0124,7.348,0.11,0.0027,0.1345,0.0069,0.299,4.028
0.9316,1013.1402,0.0133,7.1892,0.116,0.0043,0.0603,-0.0072,0.2074,3.8747
0.9316,995.1202,0.0071,7.2183,0.086,0.0049,-0.0232,-0.0208,0.2742,4.469
0.9327,996.3344,-0.017,7.2835,0.241,0.0033,0.0917,0.0159,0.1469,2.2778
0.9323,994.3752,-0.0012,7.327,0.133,0.003,-0.3163,-0.0073,0.2728,1.6229
0.9323,995.1202,-0.0107,7.3225,0.158,0.002,0.053,-0.0162,0.2328,4.1362
0.9316,1013.4306,0.0231,7.3153,0.148,0.005,-0.0556,-0.0092,0.1714,3.4126
0.9224,1013.1402,-0.0112,7.3807,0.147,0.0052,0.0047,-0.0045,0.3436,4.2548
0.9324,1009.5881,-0.023,7.3627,0.1,0.0048,-0.0605,-0.0106,0.2445,3.7247
0.9312,1013.1402,0.0188,7.4047,0.128,0.003,0.1125,-0.0389,0.3005,5.0883
0.9329,1013.4306,0.0161,7.3632,0.076,0.0019,-0.1348,-0.0124,0.3179,5.5869
0.9281,995.1202,0.0012,7.3877,0.149,0.0025,0.088,-0.0192,0.1611,2.3805
0.93,1013.4306,0.0001,7.3878,0.136,0.0026,-0.0963,-0.0082,0.3498,3.9252
0.923,1008.1634,-0.0264,7.3998,0.178,0.0028,0.0164,0.007,0.1854,4.2945
0.933,997.1394,-0.0161,7.1705,0.18,0.0036,-0.0022,0.0183,0.2185,4.185
0.9237,1007.9494,-0.0049,7.3447,0.115,0.0028,-0.052,-0.0103,0.1431,4.2187
0.9324,1008.1634,-0.012,7.3455,0.134,0.0045,-0.1775,0.0173,0.2883,5.6568
0.9325,1007.9494,-0.0045,7.2632,0.047,0.003,0.0634,-0.0248,0.2445,3.3932
0.9325,997.1394,0.0209,7.2422,0.228,0.0022,0.0481,-0.0083,0.2328,3.985
0.9223,1007.9494,-0.0036,7.3327,0.12,0.0027,-0.0134,-0.0005,0.1387,3.8123
0.9322,1007.9494,-0.0095,7.3628,0.058,0.0026,0.0764,-0.0176,0.1431,3.6007
0.932,1007.9494,0.013,7.3767,0.125,0.003,-0.1087,-0.0089,0.1854,3.0692
0.9324,1009.5254,0.0159,7.3058,0.123,0.0033,0.0648,-0.0148,0.3179,4.0071
0.9237,1009.5254,-0.0052,7.3317,0.195,0.0026,0.0307,-0.0372,0.3436,4.567
0.9325,995.1202,-0.0011,7.2867,0.075,0.0037,0.0333,0.0174,0.2246,3.6882
0.9237,1009.5254,-0.0213,7.2722,0.167,0.0025,0.0491,-0.027,0.3436,4.3936
0.932,996.3344,-0.0225,7.1505,0.257,0.0024,-0.072,-0.0138,0.0595,3.3233
0.9052,995.1202,-0.0036,7.354,0.15,0.002,-0.0356,-0.0359,0.299,3.9005
0.9296,995.1202,-0.0306,7.2855,0.165,0.0036,-0.085,-0.0032,0.3336,4.111
0.9308,1009.5254,-0.0319,7.2443,0.145,0.0029,-0.1041,0.0089,0.236,2.7444
0.923,1009.5254,-0.0021,7.2527,0.19,0.004,0.0042,0.005,0.1854,4.2802
0.9356,1015.5678,0.0051,7.2648,0.161,0.0038,0.0416,-0.0027,0.2207,1.536
0.9318,999.5619,0.0154,7.2677,0.111,0.002,0.0032,-0.0093,0.3639,4.4266
0.9315,1006.9773,-0.0194,7.3795,0.219,0.0035,0.0436,0.0023,0.2328,2.7871
0.9318,992.8867,0.0005,7.3097,0.125,0.0035,0.0014,0.0173,0.1431,4.6392
0.9281,999.5619,-0.001,7.2932,0.195,0.0024,-0.0882,0.0082,0.3639,2.1116
0.9318,998.9491,0.0037,7.4047,0.135,0.0024,-0.1184,-0.0126,0.1431,4.4135
0.9331,1006.6689,-0.0041,7.3798,0.128,0.0022,0.0431,0.0028,0.2686,1.9716
0.931,1006.6689,-0.0024,7.394,0.278,0.0045,0.094,0.0188,0.3814,2.8476
0.9322,1006.6689,-0.0038,7.1463,0.074,0.0021,0.0259,0.0211,0.1642,2.2558
0.9316,1020.9944,0.0589,7.2203,0.103,0.0029,0.2337,-0.0333,0.2404,4.5774
0.932,1020.9944,0.0076,7.4045,0.139,0.0024,0.0737,-0.0299,0.4267,2.4533
0.931,1006.6689,0.0053,7.232,0.151,0.0033,0.0192,0.0081,0.3795,2.206
0.931,1001.4682,0.0039,7.332,0.151,0.0025,-0.0451,-0.0222,0.1828,2.4959
0.9284,1001.4682,-0.0147,7.3693,0.123,0.0023,0.113,-0.0297,0.3877,2.5019
0.9317,1006.6689,0.0046,7.2725,0.123,0.0038,-0.0323,0.0164,0.8123,4.4132
0.9304,1002.9643,-0.0122,7.2838,0.158,0.0021,-0.0013,-0.0141,0.8703,4.1276
0.9304,998.8077,-0.001,7.2873,0.168,0.0024,0.0731,-0.0199,0.8703,4.5592
0.9315,999.8622,-0.0053,7.1688,0.134,0.0022,0.006,-0.0217,0.2198,4.2139
0.9298,998.8077,-0.0095,7.3585,0.194,0.0061,-0.0164,-0.0227,0.3814,4.0856
0.9325,991.5921,-0.0337,7.3305,0.109,0.0025,0.0616,-0.0028,0.2356,4.0493
0.9311,989.4811,-0.0203,7.2782,0.098,0.0027,0.1202,0.0379,0.1828,2.0745
0.9279,991.5921,0.0231,7.3848,0.1,0.0028,-0.0027,0.0406,0.2855,2.0496
0.9337,1001.4682,-0.0191,7.3705,0.117,0.0037,-0.0602,-0.0247,0.2679,4.4146
0.9337,1003.8606,-0.012,7.242,0.133,0.002,0.1744,-0.0207,0.33,4.3337
0.9311,1001.1729,-0.0197,7.2927,0.2,0.0027,-0.0279,0.0005,0.3039,2.8082
0.9325,1001.4682,-0.0115,7.2247,0.087,0.0021,0.0975,-0.027,0.1257,4.0227
0.9346,996.6433,0.0056,7.2672,0.147,0.0036,-0.0247,-0.0377,0.1877,1.3934
0.931,1003.8606,-0.0225,7.3107,0.247,0.0024,0.0857,0.0087,0.3081,4.5053
0.9302,1020.9944,0.0023,7.2947,0.102,0.002,0.0137,0.0181,0.33,2.7872
0.9316,1020.9944,-0.0343,7.2545,0.122,0.0016,0.0969,-0.0456,0.1137,4.1111
0.9148,989.4811,-0.0258,7.339,0.207,0.003159504,-0.001262573,0.0398,0.3814,3.3885
0.9304,991.5921,0.0246,7.3217,0.188,0.0042,-0.0532,-0.003,0.0399,4.3862
0.9314,1001.4682,0.0037,7.3185,0.169,0.0012,0.0435,-0.0351,1.4754,3.8843
0.9311,1003.8606,0.0078,7.2168,0.072,0.0027,-0.0566,0.0132,0.4191,2.5527
0.9349,1003.8606,0.0174,7.2668,0.112,0.0028,0.0444,0.031,0.2577,2.0633
0.9325,1001.4682,-0.0486,7.2822,0.078,0.0024,0.084,-0.0328,0.1828,3.6243
0.9337,989.4811,-0.0126,7.1795,0.085,0.0034,-0.0026,-0.0111,0.1137,4.0686
0.9298,1020.9944,-0.0167,7.322,0.137,0.0032,0.0396,-0.0226,0.2883,4.462
0.9302,1001.4682,-0.0184,7.155,0.034,0.0023,0.0586,-0.0441,0.2404,3.1338
0.9319,1001.4682,-0.0135,7.2692,0.149,0.003,-0.0593,-0.0154,0.2404,2.9056
0.9284,1003.8606,-0.0012,7.4375,0.193,0.0032,-0.0223,0.0137,0.3877,1.8149
0.931,1020.9944,-0.0418,7.356,0.135,0.0033,0.0158,-0.0452,0.3891,4.2984
0.9289,996.0538,-0.0073,7.2882,0.118,0.0032,-0.0328,-0.0386,0.3336,4.9371
0.9365,999.8622,-0.0127,7.2577,0.126,0.0021,-0.0104,0.0193,0.4231,1.8489
0.9243,999.9961,0.0204,7.354,0.185,0.0034,-0.0369,-0.0262,0.3336,2.5562
0.9311,1008.2756,-0.0045,7.3498,0.115,0.0137,-0.0728,-0.0421,0.3039,2.7414
0.9178,999.9961,-0.0064,7.3225,0.098,0.0035,-0.003,-0.007,0.3085,3.7636
0.9197,998.2901,0.0066,7.1625,0.154,0.0034,-0.0306,-0.0093,0.3336,3.5613
0.932,1008.7122,0.0004,7.1785,0.103,0.0028,-0.0456,-0.0401,0.1137,3.0415
0.9331,991.3567,0.0095,7.211,0.193,0.0024,-0.029,-0.0531,0.3927,2.2258
0.9148,999.9961,-0.019,7.246,0.08,0.0099,-0.0741,-0.0038,0.3085,3.2731
0.9284,991.3567,0.0076,7.3607,0.206,0.0021,0.0373,-0.0264,0.7949,2.3403
0.9316,999.9961,0.0058,7.3105,0.131,0.0069,-0.0628,-0.0291,0.8599,4.1555
0.9284,1006.6856,0.0036,7.1773,0.086,0.0029,0.0377,-0.0547,0.2679,2.2779
0.9314,1001.4256,-0.0026,7.409,0.189,0.0038,0.1036,-0.0136,0.3801,1.9046
0.9316,1001.3102,0.0116,7.2575,0.21,0.0028,0.005,-0.0272,0.288,2.7095
0.9224,1001.3102,0.0207,7.4132,0.06,0.0038,0.0231,-0.0436,0.3005,3.7877
0.9324,1007.63,0.0102,7.2957,0.133,0.0028,-0.0462,0.0048,0.2072,2.0473
0.9337,1006.6856,0.0063,7.2617,0.097,0.0023,-0.0283,-0.045,0.33,4.491
0.9157,1008.7122,-0.0176,7.1215,0.119,0.0023,0.0381,-0.015,0.4098,4.8554
0.9325,1007.63,0.0157,7.2078,0.038,0.0025,-0.0929,-0.0211,0.1257,3.9159
0.9334,999.9961,-0.0216,7.2547,0.154,0.003,-0.3479,-0.0166,0.1991,2.3995
0.9284,1008.7122,0.004,7.3115,0.098,0.0023,0.1048,-0.0345,1.4754,2.2444
0.9315,1008.7122,0.0163,7.292,0.161,0.0052,0.1162,-0.0399,0.4191,3.9587
0.9284,1001.3102,0.0137,7.2797,0.048,0.0019,0.185,-0.0085,0.1899,2.4736
0.9314,1001.3102,-0.0171,7.2873,0.055,0.0033,-0.0441,0.0073,0.2686,1.8962
0.9298,1007.63,0.0081,7.2787,0.107,0.0025,0.0662,-0.0588,0.3795,4.2616
0.9214,1009.8822,0.0162,7.3217,0.144,0.0039,0.0715,-0.0046,0.3436,3.9015
0.9317,1009.8822,0.013,7.3682,0.141,0.0021,0.0376,-0.0143,0.3699,5.0423
0.9215,1009.8822,0.013,7.266,0.117,0.0041,-0.0428,-0.0032,0.1642,3.6992
0.9317,1009.8822,-0.0072,7.162,0.131,0.0031,0.0822,-0.001,0.1642,5.4213
0.9215,1009.8822,0.0059,7.2255,0.143,0.0045,0.039,-0.0085,0.3436,3.6014
0.9314,1008.8589,-0.0178,7.2983,0.159,0.004,-0.036,-0.0398,0.2465,2.0608
0.932,1008.7122,0.0022,7.3442,0.12,0.0051,0.2692,-0.0245,0.3771,1.8971
0.9314,1007.6922,-0.0171,7.2118,0.1,0.0029,0.0705,-0.0043,0.4098,2.2836
0.9316,1008.7122,0.0028,7.3083,0.1,0.0028,-0.0097,-0.0009,0.1991,2.2647
0.9316,1009.8822,0.0217,7.2975,0.165,0.0031,0.1255,-0.0034,0.3699,2.292
0.9314,1011.8856,0.0012,7.3057,0.129,0.0023,-0.0142,0.0064,0.2404,1.5376
0.9322,1001.3102,-0.0105,7.2097,0.178,0.0025,-0.0983,-0.0168,0.3085,2.1361
0.9301,1001.3102,0.0043,7.1863,0.13,0.0023,0.0193,-0.0149,0.2923,3.8733
